ObsID,variable,absolute_error
sch02_tch06_05_03_18_period1-2,IsInstructionalUtterance,0.1831881715654634
sch02_tch06_05_03_18_period3-4,IsInstructionalUtterance,0.021482168905558985
sch02_tch06_05_04_18_period1-2,IsInstructionalUtterance,0.4047048760063615
sch02_tch06_05_07_18_period3-4,IsInstructionalUtterance,0.2795876143593944
sch02_tch06_05_10_18_period3-4,IsInstructionalUtterance,0.21873528711039703
sch02_tch06_05_14_18_period3-4,IsInstructionalUtterance,0.2207694390980226
sch02_tch06_05_16_18_period3-4,IsInstructionalUtterance,0.0391789215155216
sch02_tch06_05_17_18_period3-4,IsInstructionalUtterance,0.012560059486119046
sch02_tch07_05_04_18_period1-2,IsInstructionalUtterance,0.025112827117059644
sch02_tch07_05_04_18_period3-4,IsInstructionalUtterance,0.06323843237803461
sch02_tch07_05_10_18_period1-2,IsInstructionalUtterance,0.06575980447140939
sch02_tch07_05_10_18_period3-4,IsInstructionalUtterance,0.10021793231214549
sch02_tch07_05_11_18_period3-4,IsInstructionalUtterance,0.0036528977663273787
sch02_tch07_05_14_18_period1-2,IsInstructionalUtterance,0.03541375649474243
sch02_tch07_05_14_18_period3-4,IsInstructionalUtterance,0.032479735217323724
sch02_tch07_05_15_18_period1-2,IsInstructionalUtterance,0.10588559074549908
sch03_tch01_05_24_18_period01,IsInstructionalUtterance,0.07563940058122864
sch03_tch01_05_24_18_period02,IsInstructionalUtterance,0.07071390195934346
sch03_tch01_05_25_18_period01,IsInstructionalUtterance,0.08834055109547423
sch03_tch01_05_30_18_period02,IsInstructionalUtterance,0.06470680566347298
sch03_tch01_05_30_18_period06,IsInstructionalUtterance,0.028984741496019595
sch03_tch01_05_31_18_period04,IsInstructionalUtterance,0.0012678888026967927
sch03_tch01_05_31_18_period06,IsInstructionalUtterance,0.042819255265960754
sch03_tch01_06_01_18_period01,IsInstructionalUtterance,0.0788259669148702
sch03_tch01_06_01_18_period02,IsInstructionalUtterance,0.09720934183016139
sch03_tch02_05_29_18_period04,IsInstructionalUtterance,0.12643537537015903
sch03_tch02_05_29_18_period06,IsInstructionalUtterance,0.028303584169127816
sch03_tch02_05_30_18_period04,IsInstructionalUtterance,0.36539544597388096
sch03_tch02_05_30_18_period06,IsInstructionalUtterance,0.14076968487846175
sch03_tch02_05_31_18_period04,IsInstructionalUtterance,0.24734727984682492
